Países/Territórios|USE
GAUTENG|SOUTH AFRICA
GAZIPUR|BANGLADESH
GEMANY|GERMANY
GERMAN|GERMANY
GERMANY|GERMANY
Germany-W|GERMANY
GHANA|GHANA
GINEBRA|SWITZERLAND
GO|BRAZIL
GOIANIA|BRAZIL
Goiânia|BRAZIL
GOIAS|BRAZIL
Goiás|BRAZIL
GOTTINGEN|GERMANY
Göttingen|GERMANY
GRA BRETANHA|UNITED KINGDOM
Grã-Bretanha|UNITED KIGDOM
GRAN BRETANA|UNITED KINGDOM
Gran Bretaña|UNITED KIGDOM
GRAN DUCADO DE LUXEMBURGO|LUXEMBOURG
GRAND DUCHY OF LUXEMBOURG|LUXEMBOURG
Grand-duchy of Luxembourg|LUXEMBOURG
GRANMA|CUBA
GREAT BRITAIN|UNITED KINGDOM
GRECE|GREECE
Grèce|GREECE
GRECIA|GREECE
Grécia|GREECE
GREECE|GREECE
Greenland|DENMARK
GRERMANY|GERMANY
GUADELOUPE|GUADELOUPE
GUADELOUPE FWI|GUADELOUPE
GUADELOUPE, (FWI)|GUADELOUPE
Guam|USA
GUARICO|VENEZUELA
Guárico|VENEZUELA
GUATEMALA|GUATEMALA
GUIANA FRANCESA|FRENCH GUIANA
GUINEA|GUINEA
GUINEA BISSAU|GUINEA BISSAU
Guinea-Bissau|GUINEA BISSAU
GUIPUZCOA|SPAIN
Guipúzcoa|SPAIN
GUYANA|GUYANA
GUYANE FANCAISE|FRENCH GUIANA
Guyane Fançaise|FRENCH GUIANA
GUYANE FRANCAISE|FRENCH GUIANA
Guyane Française|FRENCH GUIANA
HABANA|CUBA
Habana-Cuba¹|CUBA
HAITI|HAITI
Haití|HAITI
HAWAII|USA
HILE|CHILE
HOLANDA|NETHERLANDS
HOLANDA PAISES BAIXOS|NETHERLANDS
Holanda/Países Baixos|NETHERLANDS
HOLLAND|NETHERLANDS
HONDURAS|HONDURAS
HONG KONG|PEOPLES R CHINA
HOUSTON|USA
HUNGARY|HUNGARY
HUNGRIA|HUNGARY
Hungría|HUNGARY
HUNGRÍA|HUNGARY
I R|IRAN
I R IRAN|IRAN
I RDC|ZAIRE
I. R. Iran|IRAN
I.R|IRAN
I.R. Iran|IRAN
I/RDC|ZAIRE
ICELAND|ICELAND
INDIA|INDIA
Índia|INDIA
India.|INDIA
INDIAN|INDIA
INDONESIA|INDONESIA
Indonésia|INDONESIA
INGLATERRA|ENGLAND
INSILVA SC USP BR|BRAZIL
insilva@sc.usp.br|BRAZIL
IOWA|USA
IRA|IRAN
Irã|IRAN
IRAN|IRAN
Irán|IRAN
IRÁN|IRAN
Iran.|IRAN
IRAQ|IRAQ
IRELAND|IRELAND
IRLANDA|IRELAND
IRLANDA DO NORTE|NORTH IRELAND
ISLAMIC REPUBLIC OF IRAN|IRAN
Islamic Republic of Iran.|IRAN
ISLAS CANARIAS|SPAIN
ISRAEL|ISRAEL
ISTANBUL TURKEY|TURKEY
IT|ITALY
ITA|ITALY
ITALIA|ITALY
Itália|ITALY
ITÁLIA|ITALY
ITALIE|ITALY
ITALY|ITALY
JABOTICABAL|BRAZIL
JAIPUR|INDIA
JALISCO|MEXICO
Jalisco/Mexico|MEXICO
JAMAICA|JAMAICA
JAPAN|JAPAN
JAPAO|JAPAN
Japão|JAPAN
JAPON|JAPAN
JAPÓN|JAPAN
Japón|JAPAN
JERUSALEM|ISRAEL
JORDAN|JORDAN
JORDANIA|JORDAN
Jordânia|JORDAN
JOSCAR CPAFRR EMBRAPA BR|BRAZIL
joscar@cpafrr.embrapa.br|BRAZIL
jpereiramotta@yahoo.com.br|BRAZIL
KATIA IFF FIOCRUZ BR|BRAZIL
katia@iff.fiocruz.br|BRAZIL
KAZAKHSTAN|KAZAKHSTAN
Kenia|KENYA
KENNETH UERJ|BRAZIL
kenneth@uerj|BRAZIL
KENTUCKY|USA
KENYA|KENYA
KINGDOM OF BAHRAIN|BAHRAIN
KINGDOM OF SAUDI ARABIA|SAUDI ARABIA
KOREA|SOUTH KOREA
KOSOVA|KOSOVO
KOSOVO|KOSOVO
KSA|SAUDI ARABIA
KSA KINGDOM OF SAUDI ARABIA|SAUDI ARABIA
KUWAIT|KUWAIT
KWAIT|KUWAIT
KYRGYZSTAN|KYRGYZSTAN
L|BRAZIL
La Coruña|SPAIN
LA HABANA|CUBA
LANUS|ARGENTINA
Lanús|ARGENTINA
LAO PDR|LAOS
LAO PEOPLE S DEMOCRATIC REPUBLIC|LAOS
Lao People's Democratic Republic|LAOS
LAOS|LAOS
LATVIA|LATVIA
LEBANO|LEBANON
LEBANON|LEBANON
LESOTHO|LESOTHO
LETONIA|LATVIA
Liban|LEBANON
LIBANO|LEBANON
Líbano|LEBANON
LIBERIA|LIBERIA
LIBIA|LIBYA
LIBYA|LIBYA
Limpopo|SOUTH AFRICA
LISBOA|PORTUGAL
LISBON|PORTUGAL
LITHUANIA|LITHUANIA
LITUANIA|LITHUANIA
LONDON|ENGLAND
LONDRES|ENGLAND
LOUGHBOROUGH|ENGLAND
LSDIAS UEVORA PT|PORTUGAL
lsdias@uevora.pt|PORTUGAL
LUXEMBOURG|LUXEMBOURG
Luxemburg|LUXEMBOURG
MA A A XICO|MEXICO
MA XICO|MEXICO
MÃ¯Â¿Â½xico|MEXICO
MÃ©xico|MEXICO
Macao|MACAO
MACEDONIA|MACEDONIA
Macedônia|MACEDONIA
MADAGASCAR|MADAGASCAR
Madri|SPAIN
MADRID|SPAIN
MADURAI|INDIA
MALAGA|SPAIN
Málaga|SPAIN
MALASIA|MALAYSIA
MALASYA|MALAYSIA
MALAWI|MALAWI
MALAYASIA|MALAYSIA
MALAYSIA|MALAYSIA
MALI|MALI
Malí|MALI
MALTA|MALTA
MANAUS|BRAZIL
MANIZALES|COLOMBIA
mariane_ohl@yahoo.com.br|BRAZIL
MARISABELALBERS YAHOO ES|VENEZUELA
marisabelalbers@yahoo.es|VENEZUELA
MARO|MOROCCO
MAROC|MOROCCO
MAROCCO|MOROCCO
MARROCOS|MOROCCO
MARRUECOS|MOROCCO
MARSHALL ISLAND|MARSHALL ISLAND
MARTINICA|MARTINIQUE
MARTINIQUE|MARTINIQUE
MARYLAND|USA
MATANZAS|CUBA
MAURITIUS|MAURITIUS
MCORTESRO UNAL EDU CO|COLOMBIA
mcortesro@unal.edu.co|COLOMBIA
ME XICO|MEXICO
Mé xico|MEXICO
ME&#769;XICO|MEXICO
MEDELLIN|COLOMBIA
Medellín|COLOMBIA
MEJICO|MEXICO
Méjico|MEXICO
MERIDA|VENEZUELA
Mérida|VENEZUELA
MEX|MEXICO
Méx|MEXICO
Mex.|MEXICO
MEXIC|MEXICO
Méxic|MEXICO
MEXICO|MEXICO
MÉXICO|MEXICO
México|MEXICO
MÉXICO|MEXICO
Mèxico|MEXICO
MÈxico|MEXICO
Mëxico|MEXICO
MEXICO C P|MEXICO
MEXICO D F|MEXICO
México D. F.|MEXICO
México D.F|MEXICO
México D.F.|MEXICO
MEXICO DF|MEXICO
Mexico,|MEXICO
México,|MEXICO
México, C.P|MEXICO
México, D. F|MEXICO
México, D. F.|MEXICO
México, D.F|MEXICO
México, D.F.|MEXICO
México, DF|MEXICO
Mexico.|MEXICO
México.|MEXICO
México;|MEXICO
MEXIQUE|MEXICO
MG|BRAZIL
MG BRASIL|BRAZIL
MG-Brasil|BRAZIL
MINAS GERAIS|BRAZIL
MIRANDA|VENEZUELA
MOCAMBIQUE|MOZAMBIQUE
Moçambique|MOZAMBIQUE
MOLDOVA|MOLDOVA
MONGOL PEO REP|MONGOL PEO REP
MONGOLIA|MONGOL PEO REP
MONTERIA|COLOMBIA
Montería|COLOMBIA
MOROCCO|MOROCCO
Morocco<A NAME="BM3"></A>|MOROCCO
MORROCCO|MOROCCO
MOZAMBIQUE|MOZAMBIQUE
MS|BRAZIL
MT|BRAZIL
MUYIWAKING YAHOO COM|NIGERIA
muyiwaking@yahoo.com|NIGERIA
MX|MEXICO
MYANMAR|MYANMAR
NAIGERIA|NIGERIA
Nairobi|KENYA
NAMIBIA|NAMIBIA
Nariño|COLOMBIA
NAVARRA|SPAIN
NAYARIT MEXICO|MEXICO
Nayarit México|MEXICO
Nederland|NETHERLANDS
NEDERLANDS|NETHERLANDS
NEPA|NEPAL
NEPAL|NEPAL
NETH ANTILLES|NETH ANTILLES
Netherland|NETHERLANDS
NETHERLANDS|NETHERLANDS
NETHERLANDS ANTILLES|NETH ANTILLES
Netherlands-Antilles|NETH ANTILLES
NEW CALEDONIA|NEW CALEDONIA
NEW MEXICO|MEXICO
New York|USA
NEW ZEALAND|NEW ZEALAND
NEW ZELAND|NEW ZEALAND
NICARAGUA|NICARAGUA
Nicaraguá|NICARAGUA
Nicarágua|SAUDI ARABIA
NICOLETI UTFPR EDU BR|BRAZIL
nicoleti@utfpr.edu.br|BRAZIL
NIGARAGUA|NICARAGUA
NIGER|NIGER
NIGERIA|NIGERIA
Nigéria|NIGERIA
NIGERIS|NIGERIA
NORTH IRELAND|NORTH IRELAND
NORTHERN IRELAND|NORTH IRELAND
NORUEGA|NORWAY
NORW AY|NORWAY
NORWAY|NORWAY
NORWICH|UNITED KINGDOM
Nouvelle Calédonie|NEW CALEDONIA
NOVA ZELANDIA|NEW ZEALAND
Nova Zelândia|NEW ZEALAND
NR4 7TJ|UNITED KINGDOM
NUEVA ZELANDA|NEW ZEALAND
NUEVA ZELANDIA|NEW ZEALAND
Nuevo Leon/Mexico|MEXICO
NY|USA
ODISHA INDIA|INDIA
OEIRAS|PORTUGAL
OMAN|OMAN
OSHUN STATE|NIGERIA
outh Africa|SOUTH AFRICA
P R|PUERTO RICO
P R CHINA|PEOPLES R CHINA
P R OF CHINA|PEOPLES R CHINA
P. R . China|PEOPLES R CHINA
P. R. China|PEOPLES R CHINA
P. R. CHINA|PEOPLES R CHINA
P. R. of China|PEOPLES R CHINA
P. R.China|PEOPLES R CHINA
P.R China|PEOPLES R CHINA
